gene,Cell_ID,Sample,log1TPM,treatment,Polarity,sample_mean_log1TPM,log1RPM,log1RPM_posterior,sample_mean_log1TPM_posterior,Skew,coeff,p_value,q_value,sig,domain
SteCoe_10047,con1,con1A,0.725729902144848,con,A,2.0254266536700314,2.7511565558148794,3.071598613413971,2.0293517934182708,-0.05503272047097424,0.7681635196562747,0.08488426474516028,0.16284940239901127,False,Akt family kinase
SteCoe_10277,con1,con1A,5.58987036076779,con,A,2.0254266536700314,7.615297014437822,7.55676782995698,2.0293517934182708,0.0038576940634724786,0.7257099800931036,0.08143652027212542,0.16284940239901127,False,Aha1_N domain protein
SteCoe_10346,con1,con1A,2.4055426046552,con,A,2.0254266536700314,4.430969258325232,4.347181432193071,2.0293517934182708,0.009545043037671268,0.6004130575506031,0.07034242908205593,0.15828278345183516,False,hypothetical protein
SteCoe_10500,con1,con1A,1.9991434530836103,con,A,2.0254266536700314,4.024570106753641,3.8855219334698905,2.0293517934182708,0.01757857842572226,0.5863645867635718,0.04261157841971961,0.14692748008469417,True,Dymeclin domain protein
SteCoe_10508,con1,con1A,1.04085421922371,con,A,2.0254266536700314,3.066280872893741,2.5669098489797317,2.0293517934182708,0.08864798807094709,0.2726745866576724,0.008735945386087254,0.1363726919836761,True,hypothetical protein
SteCoe_10563,con1,con1A,4.11721860499846,con,A,2.0254266536700314,6.142645258668491,5.654610170284441,2.0293517934182708,0.04136852773284116,0.2879830902751206,0.05927054997458337,0.15357880725811787,False,MAPK family kinase
SteCoe_10575,con1,con1A,1.07302882630224,con,A,2.0254266536700314,3.098455479972271,3.2929698528831706,2.0293517934182708,-0.030433645514246797,0.1390058210278712,0.045381297139059126,0.14692748008469417,True,zf-C2HC_2 domain protein
SteCoe_10615,con1,con1A,1.7595725345441202,con,A,2.0254266536700314,3.784999188214152,4.09388115235585,2.0293517934182708,-0.0392037892175111,0.9657955375949272,0.1803991023538586,0.2127347905116257,False,CDPK family kinase
SteCoe_10707,con1,con1A,1.0713139031643,con,A,2.0254266536700314,3.096740556834331,3.089565552499901,2.0293517934182708,0.0011598204498164532,0.9773539407876162,0.01932019541297779,0.13816979920631034,True,Asp domain protein
SteCoe_10746,con1,con1A,4.19996385614637,con,A,2.0254266536700314,6.2253905098164015,5.830215355240311,2.0293517934182708,0.032779369116695295,0.5152687774256373,0.05043069925954369,0.15184168251183847,False,IPK domain protein
SteCoe_10890,con1,con1A,1.6771507134883001,con,A,2.0254266536700314,3.7025773671583315,3.9785491947150007,2.0293517934182708,-0.03592856143348887,1.1131829722960005,0.1419888611040879,0.18967541762118992,False,hypothetical protein
SteCoe_10949,con1,con1A,2.51592446963161,con,A,2.0254266536700314,4.5413511233016415,4.3469164592868506,2.0293517934182708,0.021875428727604368,0.6375981107595434,0.022368026872989614,0.13816979920631034,True,MIF4G domain protein
SteCoe_10999,con1,con1A,5.10175695985941,con,A,2.0254266536700314,7.127183613529441,6.53861769750287,2.0293517934182708,0.04306852577692796,0.3850370508756948,0.08071837135580483,0.16284940239901127,False,ATP-synt_ab_N domain protein
SteCoe_11109,con1,con1A,2.61810742495631,con,A,2.0254266536700314,4.643534078626342,4.8928831006462605,2.0293517934182708,-0.026147033768811917,0.5622892012400056,0.164302243560143,0.20268717977633896,False,SAS-6_N domain protein
SteCoe_11195,con1,con1A,1.10202963349698,con,A,2.0254266536700314,3.1274562871670115,3.208756582226851,2.0293517934182708,-0.012831054880202716,0.6728086777190964,0.0725021953222195,0.15828278345183516,False,Peptidase_M14 domain protein
SteCoe_11196,con1,con1A,1.7472567332913402,con,A,2.0254266536700314,3.7726833869613716,3.854241907453071,2.0293517934182708,-0.010693499325531413,0.3025518901329361,0.0011882355176877151,0.08017277815676771,True,Chitin_synth_1 domain protein
SteCoe_11208,con1,con1A,2.7157118891653598,con,A,2.0254266536700314,4.741138542835391,4.395402809623611,2.0293517934182708,0.037840985978652576,0.5036985975725491,0.1610301080583651,0.19998623924020728,False,ANAPC4_WD40 domain protein
SteCoe_11290,con1,con1A,0.7029425720331719,con,A,2.0254266536700314,2.7283692257032035,3.087918465615391,2.0293517934182708,-0.06181765053486805,0.18715506183697958,0.010786181120512817,0.13816979920631034,True,NIF domain protein
SteCoe_11377,con1,con1A,3.00882922291326,con,A,2.0254266536700314,5.034255876583291,4.512787084782801,2.0293517934182708,0.05462097467359393,0.19096428493540138,0.02066315280042019,0.13816979920631034,True,STT3 domain protein
SteCoe_11408,con1,con1A,3.70097149406406,con,A,2.0254266536700314,5.726398147734091,5.413877381713821,2.0293517934182708,0.028053234876835968,0.23741322925219885,0.01761505274722103,0.13816979920631034,True,V-ATPase_H_N domain protein
SteCoe_11507,con1,con1A,4.43146346358362,con,A,2.0254266536700314,6.456890117253652,6.134733593319711,2.0293517934182708,0.025584986602118758,0.4736205341398039,0.20749428658775856,0.23525429318339974,False,Aldo_ket_red domain protein
SteCoe_1153,con1,con1A,1.57048611169731,con,A,2.0254266536700314,3.5959127653673413,3.266949973009291,2.0293517934182708,0.047933756640434366,0.5780101206999483,0.01074867939403974,0.13816979920631034,True,HSF_DNA-bind domain protein
SteCoe_11542,con1,con1A,1.74079957244596,con,A,2.0254266536700314,3.7662262261159913,3.6288360459637605,2.0293517934182708,0.01857863735251439,1.1624568283157397,0.16936846116189502,0.2055613692191105,False,WD40 domain protein
SteCoe_11657,con1,con1A,5.500661688479,con,A,2.0254266536700314,7.526088342149031,8.28460318238331,2.0293517934182708,-0.04797480483743201,0.2957388563227773,0.05419599067993797,0.15259340647277359,False,hypothetical protein
