"","A1","A2","A6","P1","P2","P6"
"SteCoe_18703",0,0,0,4,0,0
"SteCoe_18704",479,634,162,708,547,221
"SteCoe_18705",36,11,4,30,34,10
"SteCoe_18706",2913.98749565821,3599.91734607816,2941.7053539346,3389.99257278669,3352.98640072529,4973.6640398175
"SteCoe_18707",1180.46207125417,1252.98997917412,190.37619116881,1475.0442902877,1647.26443859211,311.452998345213
"SteCoe_18708",67,146,103,84,120,163
"SteCoe_1871",35.1143790849673,38.1333333333333,26.1025641025641,31.0778894472362,36.0497925311203,14.0366492146597
"SteCoe_18710",39329,50298,11149,41312,49490,14101
"SteCoe_18712",155,227,72,185,218,148
"SteCoe_18713",83,94,7,88,81,59
"SteCoe_18714",0,0,0,0,0,0
"SteCoe_18715",0,0,0,0,0,0
"SteCoe_18716",11,3,6,4,13,0
"SteCoe_18717",31,5,0,39,42,6
"SteCoe_18718",1017,1441,302,1710,1662,620
"SteCoe_18719",65,31,30,30,29,38
"SteCoe_1872",1144.47924464335,1095.80884424583,266.536074680599,1111,1340.31458999125,428.569698012539
"SteCoe_18720",1162,1566,409,1229,1359,715
"SteCoe_18721",0,0,0,0,0,0
"SteCoe_18722",119,122,42,153,152,103
"SteCoe_18723",0,0,0,0,0,0
"SteCoe_18724",479.123116153721,614.480689150434,147.308199999812,556.101575732806,698.053092831045,137.410911615145
"SteCoe_18725",445,637,175,446,851,229
"SteCoe_18726",25,47,13,58,38,37
"SteCoe_18727",264,215,178,227,264,261
"SteCoe_18728",122,159,53,131,122,127
"SteCoe_18729",105,85,40,107,121,75
"SteCoe_1873",1104,1711,1610,1624,1743,2018
"SteCoe_18730",196.017057569296,228.651731160896,86.5682656826568,251.194847020934,272.788732394366,151.740196078431
"SteCoe_18731",0,0,0,1,1,0
"SteCoe_18733",282,215,17,301,389,81
"SteCoe_18734",486,536,127,501,541,278
"SteCoe_18735",37,44,14,55,27,31
"SteCoe_18736",153,273,36,272,274,42
"SteCoe_18737",0,7,4,3,5,13
"SteCoe_18738",11589,12340,1889,14179,13457,3089
"SteCoe_18739",7,7,3,9,13,7
"SteCoe_18741",58,51,14,66,40,26
"SteCoe_18742",0,0,0,0,0,0
"SteCoe_18743",79,252,34,116,233,16
"SteCoe_18744",40,61,17,42,47,28
"SteCoe_18745",952.01004008634,1535.56058926372,286.608455162421,1397.12629350874,1780.88472985879,605.919398826794
"SteCoe_18746",102,127,39,79,93,40
"SteCoe_18747",284.291326925634,237,108.536426102903,374.564744338345,335.305361181459,192.367992929517
"SteCoe_18748",913,2044,361,1026,1743,338
"SteCoe_18749",333.007874015748,472.615384615385,389.895652173913,369.762886597938,443.936507936508,670.339425587467
"SteCoe_1875",3,5,5,13,12,6
"SteCoe_18750",17,7,0,2,12,0
"SteCoe_18752",0,0,0,0,0,0
"SteCoe_18753",625,1117,505,1099,1361,1234
"SteCoe_18754",0,0,0,0,0,0
"SteCoe_18755",0,0,0,0,0,0
"SteCoe_18756",24,23,16,41,37,31
"SteCoe_18757",67,126,57,158,177,122
"SteCoe_18759",118,203,32,194,196,43
"SteCoe_1876",600,1062,281,856,1141,387
"SteCoe_18760",0,0,0,0,0,0
"SteCoe_18761",43,44,6,66,75,2
"SteCoe_18763",1270,1356,498,1528,1436,592
"SteCoe_18764",0,0,0,0,0,0
"SteCoe_18765",19,50,7,39,55,18
"SteCoe_18767",375,508,175,554,606,262
"SteCoe_18768",20.4,27.8333333333333,17,26.7543859649123,22.162962962963,22
"SteCoe_1877",50,41,15,30,40,25
"SteCoe_18770",65,110,75,96,120,154
"SteCoe_18771",1145,1402,481,1358,1508,702
"SteCoe_18772",11062,11313,3198,11591,11605,4743
"SteCoe_18773",337.480176211454,523.574712643678,270.56940509915,466.801408450704,563.096202531646,536.52312599681
"SteCoe_18774",948,1024,251,1123,970,444
"SteCoe_18775",320,297,132,635,276,204
"SteCoe_18776",415,448,66,668,523,77
"SteCoe_18777",229.682840432766,272,110,284,354.786743002899,223
"SteCoe_18778",0,0,0,0,0,0
"SteCoe_18779",116.279012116871,110.205200254074,65.1235923366263,205.72162729591,151.37047587516,123.745755177618
"SteCoe_1878",389,573,254,573,757,513
"SteCoe_18780",0,0,0,0,0,0
"SteCoe_18781",378,602,191,412,507,294
"SteCoe_18782",54,86,35,54,85,67
"SteCoe_18783",0,0,0,0,0,0
"SteCoe_18784",176,219,66,163,203,65
"SteCoe_18785",102,187,68,217,234,135.733212068568
"SteCoe_18786",131,123,32,189,216,73
"SteCoe_18787",3,6,2,2,4,1
"SteCoe_18788",124,199,45,220,187,46
"SteCoe_18789",3927.09067309475,5089.58893849921,5119.18283963228,4784.2987012987,6025.63780718337,6384.43500979752
"SteCoe_1879",130,147,36,190,155,99
"SteCoe_18790",1043.57044048052,1281.8595505618,494.460285132383,1329.97971014493,1645.0734509643,826.357852882704
"SteCoe_18791",27363.898867602,33529.1493611661,14565.3118703828,28714.7969209046,33124.8017234501,23036.4770145128
"SteCoe_18792",88,243,21,97,168,101
"SteCoe_18793",72,181,47,62,193,50
"SteCoe_18794",0,3,0,1,0,0
"SteCoe_18796",91,148,44,138,146,76
"SteCoe_18797",1609,1729,565,2611,2183,1054
"SteCoe_18798",473,502,80,615,576,110
"SteCoe_18799",34,42,9,43,49,18
"SteCoe_188",3,2,0,2,14,2
"SteCoe_1880",274,626,180,549,846,568
"SteCoe_18800",464,728,163,582,719,234
"SteCoe_18801",9022.32674795493,10703.1902638269,1830.56546028662,8963.01528416679,10518.8856051801,2417.75709559464
"SteCoe_18802",402,381,153,744,472,265
"SteCoe_18803",72,59,11,120,145,30
"SteCoe_18804",0,0,0,0,0,0
"SteCoe_18805",0,0,0,0,0,0
"SteCoe_18806",208,323,203,434,342,322
"SteCoe_18807",506,603,210,819,675,326
"SteCoe_18808",1622,1871,598,2196,2470,1047
"SteCoe_18809",44,46,21,61,33,22
"SteCoe_1881",1480,1997,452,2042,2443,976
"SteCoe_18810",170,195,40,162,171,53
"SteCoe_18811",392,349,87,379,368,115
"SteCoe_18812",0,0,0,0,0,0
"SteCoe_18813",92,154,29,125,154,100
"SteCoe_18814",347,340,248,614,497,353
"SteCoe_18815",13,23,0,17,22,0
"SteCoe_18819",287,343,162,343,426,239
"SteCoe_1882",0,0,0,0,0,0
"SteCoe_18820",111,217,61,180,306,90
"SteCoe_18821",4504.70398227878,5071.91800980018,2626.91521970199,4861.735043631,5120.62929599727,4118.9878761353
"SteCoe_18822",85,109,19,98,85,44
"SteCoe_18823",0,2,0,0,0,0
"SteCoe_18825",84,207,21,232,214,114
"SteCoe_18826",89,162,113,182,155,220
"SteCoe_18827",558.108118652131,964.812335510585,300.13480206635,1280.80119709456,1114.23114939657,655
"SteCoe_18828",174,145,53,205,173,129
"SteCoe_18829",7506,6106,2008,9019,6722,2354
"SteCoe_1883",1985.93999583994,2094.34206396491,230.380052780938,2301.01722442021,2467.81940521349,234.123452125795
"SteCoe_18830",2853,5188,966,3834,5533,1781
"SteCoe_18831",500,687,149,551,575,148
"SteCoe_18832",10,13,17,43,36,5
"SteCoe_18833",25.5,28.5,14,26,33.5,44
"SteCoe_18834",607,854.5,222.5,701,951.5,462.5
"SteCoe_18835",10.5,20,9,24.5,14.5,24.5
"SteCoe_18836",5.33333333333333,10.6666666666667,1.66666666666667,7.33333333333333,9.33333333333333,1
"SteCoe_18837",142.5,189.5,27.5,277.5,263,77
"SteCoe_18838",0,0,0,0,0,0
"SteCoe_18839",439,395,174,430,430,350
"SteCoe_1884",122.033898305085,173.072289156627,79.5808823529412,175.694704049844,121.29963898917,306.033898305085
"SteCoe_18840",159,244,95,167,156,146
"SteCoe_18841",67,85,28,86,118,110
"SteCoe_18842",123,159,17,125,136,34
"SteCoe_18843",10193,12655,3602,11982,13890,5717
"SteCoe_18844",355.740482110483,930.444859611897,222.481678817839,769.597154490437,1558.06449002594,550.861499917619
"SteCoe_18845",270,131,32,201,142,86
"SteCoe_18846",0,0,0,0,0,0
"SteCoe_18847",5786,7613,1931,6825,8517,2802
"SteCoe_18848",1731,2413,1151,3506,3586,1893
"SteCoe_1885",1744,1687,723,2122,2117,1345
"SteCoe_18850",648,681,208,1199,824,638
"SteCoe_18851",755,466,191,1019,590,338
"SteCoe_18852",1,0,0,0,0,0
"SteCoe_18853",4672.4934177505,6571.03631153864,2809.13922934623,5025.62070145216,5710.9742739709,3224.11077940624
"SteCoe_18854",61,56,23,124,75,46
"SteCoe_18855",2490,2715,2896,2786,2722,2598
"SteCoe_18856",0,0,0,0,0,0
"SteCoe_18857",386,585,181,677,836,483
"SteCoe_18858",140.833226528174,136.890491299814,53.1064235293168,229.468897870898,255.773746196347,71.7596412398717
"SteCoe_18859",198,188,110,504,328,297
"SteCoe_1886",0,0,0,0,0,0
"SteCoe_18861",2,10,19,1,3,5
"SteCoe_18862",0,0,0,0,0,0
"SteCoe_18863",0,0,0,0,0,0
"SteCoe_18864",944,1365,213,1381,1790.70322361886,394.282812507473
"SteCoe_18865",1,3,0,6,7,0
"SteCoe_18866",62,94,27,86,82,65
"SteCoe_18867",10584,14202,1430,14418,15827,1359
"SteCoe_18868",189,256,133,228,300,230
"SteCoe_18869",0,4,2,2,3,0
"SteCoe_1887",229,359,147,259,417,293
"SteCoe_18870",3395,6099,1823,4142,6450,3272
"SteCoe_18871",0,1,0,0,0,0
"SteCoe_18872",60.2469135802469,41.1995133819951,40,122.111721611722,73.1087928464978,33.5372093023256
"SteCoe_18873",803,972,214,1513,1355,311
"SteCoe_18874",0,0,0,0,0,0
"SteCoe_18876",7148,7589,736,8693,8417,809
"SteCoe_18877",0,0,0,0,0,0
"SteCoe_18878",0,0,0,0,0,0
"SteCoe_18879",2,2,1,7,1,0
"SteCoe_1888",1423,1480,399,1765,1983,575
"SteCoe_18880",24989.1796590116,28787.5085415221,6683.55437403951,27081.3120165696,27356.9594158042,9916.22087215193
"SteCoe_18881",226,315,83,223,275,106
"SteCoe_18882",163,151,47,220,229,167
"SteCoe_18883",37,56,22,41,40,32
"SteCoe_18884",133,105,11,68,121,0
"SteCoe_18885",157,199,23,149,270,63
"SteCoe_18886",184.396942855796,281.378499883036,83.0494692314504,318.636905169603,278.2657606922,237.103870359859
"SteCoe_18887",4082.91808633168,5136.09206178822,1700.91601187129,4961.24720664257,5701.65971625637,2424.80944507469
"SteCoe_18888",37,48,14,76,81,15
"SteCoe_18889",160,211,40,183,286,61
"SteCoe_1889",212.6625,289,99,310,397,245
"SteCoe_18890",117,116,15,132,139,30
"SteCoe_18891",138,287,36,190,337,91
"SteCoe_18892",122,117,67,116,143,107
"SteCoe_18893",54,85,7,60,126,6
"SteCoe_18894",64,43,47,48,71,73
"SteCoe_18895",1978,2741,872,2192,2568,1754
"SteCoe_18896",254,378,97,299,397,150
"SteCoe_18897",11,8,10,13,33,30
"SteCoe_18898",0,0,0,0,0,0
"SteCoe_18899",956.955890142238,1466.6817943111,597.041548395595,1158.36926923955,1274.29002207635,972.519692139145
"SteCoe_189",126,134,70,214,168,129
"SteCoe_1890",378,424,56,661,540,136
"SteCoe_18900",544,1029,189,709,1115,252
"SteCoe_18901",29,81,18,49,106,12
"SteCoe_18902",214,186.991561181435,70.5505617977528,310.31869510665,282.470784641068,133
"SteCoe_18903",477,703,215,670,740,711
"SteCoe_18904",281,412,125,457,494,259
"SteCoe_18905",762.753120813611,849.555078003485,347.165971772388,1920.80336613306,1793.30929619014,1700.33588240307
"SteCoe_18906",154.495901639344,194.232558139535,50.2421052631579,262.230563002681,248.760736196319,171.01872659176
"SteCoe_18907",0,0,0,0,0,0
"SteCoe_18908",62,81,26,84,119,94
"SteCoe_18909",101,101,28,96,59,35
"SteCoe_1891",0,0,0,0,0,0
"SteCoe_18910",0,0,0,0,0,0
"SteCoe_18911",147,406,55,231,619,163
"SteCoe_18912",374,669,131,478,752,378
"SteCoe_18913",2823.01066098081,3270.56203605514,837.657192075797,3264.51487845767,3546.74445787989,970
"SteCoe_18914",323,373,153,548,427,174
"SteCoe_18915",307,154,56,287,110,53
"SteCoe_18916",16686,20182,5853,17105,19624,8425
"SteCoe_18917",84,51,6,95,78,29
"SteCoe_18918",52,52,44,79,71,62
"SteCoe_18919",159,162,16,169,141,14
"SteCoe_1892",0,0,0,0,0,1
"SteCoe_18920",17,7,0,12,16,0
"SteCoe_18921",387,434.703738946756,109,423,440.441022064346,226
"SteCoe_18922",0,2,1,0,1,0
"SteCoe_18923",8,0,6,3,9,7
"SteCoe_18924",408.180564540793,594.779870563506,149.006284092799,708.034836112464,676.222988178996,309.700496654212
"SteCoe_18925",17,9,1,5,8,0
"SteCoe_18926",24,53,29,40,49,41
"SteCoe_18927",7,13,3,37,29,26
"SteCoe_18929",37,4,23,38,25,6
"SteCoe_1893",14,21,0,25,40,18
"SteCoe_18930",737,1474,151,921,1670,248
"SteCoe_18931",77,117,9,195,192,19
"SteCoe_18932",659,810,205,1068,1085,460
"SteCoe_18933",1,2,0,2,0,1
"SteCoe_18934",210,266,110,327,310,115
"SteCoe_18936",1139.89218849325,940.333735495696,143.045846124675,2040.97485341394,1626.11073956127,303.002333203768
"SteCoe_18937",606.107811506748,549.666264504304,138.954153875325,1018.02514658606,689.889260438728,300.997666796232
"SteCoe_18938",44,46,1,61,24,7
"SteCoe_18939",39.1254019292604,80,50,79,82.1271317829457,84
"SteCoe_1894",206,179,56,286,266,73
"SteCoe_18940",63,78,26,131,135,114
"SteCoe_18941",45359,46463,7893,48060,53210,11130
"SteCoe_18942",86,91,16,70,124,99
"SteCoe_18943",37,85,29,70,117,31
"SteCoe_18944",22,26.1863523635939,4,16,24.0842029781088,19.1781563911455
"SteCoe_18945",0,0,0,1,0,0
"SteCoe_18946",42,52,42,28,36,80
"SteCoe_18947",466.247639791225,614,379.031003646247,701.162673512642,663.554992601496,539.139634358954
"SteCoe_18948",753,843,211,1069,905,392
"SteCoe_18949",114,162,27,292,223,115
"SteCoe_1895",75,129,24,159,234,17
"SteCoe_18950",0,0,0,0,0,0
"SteCoe_18952",0,0,0,0,0,0
"SteCoe_18953",19920,23059,8666,19950,21607,10350
"SteCoe_18954",1209,1304,426,1860,1442,549
"SteCoe_18955",14,0,22,7,32,4
"SteCoe_18956",85,93,10,71,126,55
"SteCoe_18957",189,201,65,232,204,130
"SteCoe_18958",5081,5136,953,5603,4379,1061
"SteCoe_18959",71,62,42,129,123,40
"SteCoe_1896",288,325,127,432,442,101
"SteCoe_18961",283.216265269159,346.969555964269,27.9092112811136,430.271861748791,411.719821247025,4.54975939495056
"SteCoe_18962",105.520939755262,68.2666666666667,259.114463048499,73.5744040731312,64.4942084942085,245.422652276393
"SteCoe_18963",388.369860114703,699.417936017798,98.2809333328141,633.677090880372,852.838762649542,287
"SteCoe_18964",226,266,105,496,415,264
"SteCoe_18965",0,0,0,0,0,0
"SteCoe_18966",18118,20994,1600,22070,27025,2407
"SteCoe_18967",396,457,203,455,454,497
"SteCoe_18968",767,978,169,687,913,224
"SteCoe_18969",406,561.333333333333,177,576,696.296641791045,342.824096385542
"SteCoe_1897",5712.48901115033,7014.90579541754,2924.89473026399,5705.3569956209,6600.04322547218,3654.73597481115
"SteCoe_18970",358,299,81,273,327,151
"SteCoe_18971",1,1,4,1,2,0
"SteCoe_18972",0,0,0,0,0,0
"SteCoe_18974",0,0,0,0,1,0
"SteCoe_18975",52,39,9,44,63,25
"SteCoe_18976",194,284,61,301,347,193
"SteCoe_18977",219,164,51,295,114,38
"SteCoe_18978",6,24,4,3,27,26
"SteCoe_18979",22.5,24,30,38,40,52
"SteCoe_1898",301.6,547.04290867401,115.264711697188,289.095281683011,463.193343898574,153.996031746032
"SteCoe_18980",768,765,262,527,666,309
"SteCoe_18981",216,242,96,505,361,180
"SteCoe_18982",53,67,54,111,148,73
"SteCoe_18983",150,102,37,198,162,104
"SteCoe_18985",28,206,36,64,298,87
"SteCoe_18986",58,64,30,68,106,43
"SteCoe_18988",5033,6417,1429,4698,5471,2154
"SteCoe_18989",75,31,21,55,38,21
"SteCoe_1899",323,349,212,307,398,321
"SteCoe_18990",657.931303065678,573.08992094484,852.532546705728,617.842584657397,582.184152796605,1094.8109156435
"SteCoe_18991",1893,2360,720,1927,2335,1077
"SteCoe_18992",6732.99741071326,8805.99851347806,4173.99819203336,14008,11486,11206
"SteCoe_18993",12,25,7,29,44,4
"SteCoe_18995",18,20,2,45,47,48
"SteCoe_18996",166.007272727273,334.328358208955,114.319526627219,241.251121076233,249.100166944908,205.459016393443
"SteCoe_18997",60,93,14,172,87,32
"SteCoe_18998",471.17991320689,535.534552728031,156.616951256325,726.307785945107,739.237205391464,271.468199380293
"SteCoe_18999",98,114,20,72,107,31
"SteCoe_19",27,15,10,37,40,35
"SteCoe_190",193,273,104,382,325,313
"SteCoe_1900",178,170,20,248,261,65
"SteCoe_19001",883,1101,270.894379261316,1396,1754.5223388749,524
"SteCoe_19002",0,0,0,0,0,0
"SteCoe_19004",13,8,3,30,7,19
"SteCoe_19005",2237,2689,200,2611,3566,215
"SteCoe_19006",322,703,81,385,876,240
"SteCoe_19007",256,154,76,221,179,105
"SteCoe_19008",0,0,0,0,3,0
"SteCoe_19009",31,36,9,61,54,1
"SteCoe_1901",48,62,9,63,76,86
"SteCoe_19010",5272,6910.96887999851,1957,6167.997829438,7099.99499569596,2426
"SteCoe_19011",17,16.0311200014924,0,6.00217056200015,16.0050043040428,0
"SteCoe_19012",54,31,29,33,25,24
"SteCoe_19013",0,0,0,0,0,0
"SteCoe_19014",90,186.720851202201,49.9829828200908,197.151909493083,181.748128846502,110
"SteCoe_19015",1051,1336,252,1185,1660,376
"SteCoe_19016",12,11,10,34,51,15
"SteCoe_19017",853,964,505,1301,1507,937
"SteCoe_19018",62,34,21,107,74,37
"SteCoe_19019",3,0,0,0,0,1
"SteCoe_19021",76.5535173446917,104.624619666411,33.1070003775106,86.3274793462977,177.704445116908,27
"SteCoe_19023",144,228,50.8695652173913,228,329,163
"SteCoe_19024",307,415,90,286,396,83
"SteCoe_19025",148,181,50,293,291,100
"SteCoe_19026",0,0,0,0,0,1
"SteCoe_19027",131,251,35,127,141,148
"SteCoe_19028",211,254,88,273.670761670762,234.223097112861,174.343873517787
"SteCoe_19029",622.166240409207,729.257520176082,322.359903381643,1191.10712684895,1095.109375,639
"SteCoe_1903",67,106,65,56,100,47
"SteCoe_19030",147,145,134,323,228,270
"SteCoe_19031",212.860696517413,201.78729689808,47.3,173.122511485452,198.728710462287,44.3391812865497
"SteCoe_19033",1,0,0,0,0,0
"SteCoe_19034",1287.501950078,1531,496,1374,1702.39731653888,804
"SteCoe_19035",409.408366533865,456.027491408935,179.827751196172,591.03299856528,409.424040066778,289.470588235294
"SteCoe_19036",4540,6535,2253,5554,6659,3538
"SteCoe_19037",0,0,0,0,0,0
"SteCoe_19039",530,407,298,1194,796,906
"SteCoe_1904",1235,1165,378,1734,1399,560
"SteCoe_19040",189,242,76,209,268,168
"SteCoe_19041",868,921,169,1266,1582,246
"SteCoe_19042",1539.8789116084,2041.77156027552,570.126710763747,2051.51601509866,2200.58291487601,1267.88438012339
"SteCoe_19043",341,372,111,555,612,260
"SteCoe_19044",5,26,11,43,57,17
"SteCoe_19045",263,263,205,294,265,351
"SteCoe_19046",33,75,33,49,110,68
"SteCoe_19047",41,60,10,68,93,37
"SteCoe_19048",731,850,555,852,967,972
"SteCoe_1905",65.4101496178335,133.461410854445,30.6036939763441,166.082052801156,190.883900512522,93.7167749431694
"SteCoe_19050",183,206,340,252,275,548
"SteCoe_19051",9008,9801,3313,9529,10349,4919
"SteCoe_19052",53,57.4850555441819,47,143.309787014525,105,138.472329495134
"SteCoe_19053",1420,1790,1253.9664921466,1895.2677029361,1903.8963110668,2027.21566632757
"SteCoe_19054",10,7,4,14.138472723293,10,5.09413214511126
"SteCoe_19055",109,148,44,89,108,58
"SteCoe_19056",13,26,11,14,25,17
"SteCoe_19057",492.681318681319,595.75104727708,337.980519480519,612.721985815603,675.124142233313,503.638968481375
"SteCoe_19058",475,720,378,497,686,488
"SteCoe_19059",0,0,0,0,0,0
"SteCoe_1906",106,141,35,124,100,46
"SteCoe_19060",37,98,40,61,118,33
"SteCoe_19061",420,661,217,642,817,411
"SteCoe_19062",151,210.611961862149,65,249.278213647603,221,99
"SteCoe_19063",139,238,72,260,281,208
"SteCoe_19064",0,0,4,0,0,0
"SteCoe_19066",121.527768624846,207.984820542581,76,197.347696900553,158.450665363961,155.989614308764
"SteCoe_19067",40,23,11,39,15,11
"SteCoe_19068",67,35,7,73,53,41
"SteCoe_19069",1451,920,329,1789,1070,720
"SteCoe_1907",220,378,79,340,439,170
"SteCoe_19070",0,0,0,0,1,0
"SteCoe_19071",4583,6116,1294,5659,6134,2325
"SteCoe_19072",24,49,20,69,59,11
"SteCoe_19073",288.166666666667,305.797101449275,123.897810218978,388.438202247191,427.970642201835,90
"SteCoe_19074",0,0,0,0,0,0
"SteCoe_19076",13466,17331,4108,14147,15219,6513
"SteCoe_19077",110,181,44,137,182,128
"SteCoe_19078",1061,1120,324,2158,1531,539
"SteCoe_1908",367.746016869728,477.457943925234,170.590163934426,517.095307917889,440.836637589215,235.399429386591
"SteCoe_19080",224,318,125,221,288,152
"SteCoe_19081",184.124513618677,187.772727272727,73.9622641509434,201.302931596091,227,169.226277372263
"SteCoe_19082",124,59,37,299,177,57
"SteCoe_19083",56,96,67,57,101,101
"SteCoe_19084",452,458,228,506,432,236
"SteCoe_19085",1365,1742,277,1550,1709,683
"SteCoe_19086",2800,3306,487,3219,3740,879
"SteCoe_19087",673,875,272,684,953,450
"SteCoe_19088",235,446,115,540,484,228
"SteCoe_19089",0,0,0,0,0,0
"SteCoe_1909",0,0,0,0,0,0
"SteCoe_19090",175,174,325,242.746913580247,257,543.305397727273
"SteCoe_19091",687.350821680106,911.433613585283,619.768496926012,620.441717791411,771.31270844304,1031.13556907937
"SteCoe_19092",8630,10491,3562,9703,10876,5292
"SteCoe_19093",100,213,47,135,215,130
"SteCoe_19094",504,667,296,618,737,399
"SteCoe_19096",23,34,6,38.6914978526549,23,34
"SteCoe_19097",2449.11592356688,2641.81512345679,1041.68012924071,3348.97525473071,3262.48097412481,1783.00350701403
"SteCoe_19098",0,0,0,0,0,0
"SteCoe_19099",1635,2184,898,1852,2228,1541
"SteCoe_191",314.95625,229.964912280702,117.913043478261,303.918367346939,194,126
"SteCoe_1910",109,247,88,169,248,214
"SteCoe_19100",0,0,0,0,0,0
"SteCoe_19102",349,474,210,423,451,385
"SteCoe_19103",0,0,0,0,0,0
"SteCoe_19104",151,135,19,128,108,10
"SteCoe_19105",105,147,36,148,130,60
"SteCoe_19106",0,0,0,0,0,0
"SteCoe_19107",9,5,0,13,15,0
"SteCoe_19108",94,130,28,174,110,24
"SteCoe_19109",141,118,71,191,148,135
"SteCoe_1911",561,666.541626794258,207.579831932773,835.18214032601,812.337662337662,455
"SteCoe_19111",0,0,0,0,0,0
"SteCoe_19112",52,85.4057971014493,140.090909090909,66.55,70.1311475409836,126.92972972973
"SteCoe_19113",5597.6353633045,6976.3939893397,4168.87364842842,6309.2026684553,7212.70670281346,5164.60294622319
"SteCoe_19114",149,210,93,353,309,140
"SteCoe_19115",278.36797752809,653.533834586466,85.1960784313725,340.3,838.325719960278,164.793269230769
"SteCoe_19116",132,221,94,215,229,198
"SteCoe_19117",436,652,331,793,727,672
"SteCoe_19118",0,0,0,1,0,0
"SteCoe_19119",11.363813229572,7.83453237410072,15.183299389002,0,3.62962962962963,7.64583333333333
"SteCoe_1912",0,0,0,0,0,5
"SteCoe_19120",0,0,0,0,0,0
"SteCoe_19121",515,477,25,525,325,36
"SteCoe_19122",0,0,0,0,0,0
"SteCoe_19123",0,0,0,0,0,0
"SteCoe_19124",0,0,0,0,0,0
"SteCoe_19125",115,127,83,146,221,109
"SteCoe_19126",156,248.880100346184,47,203.788370450508,221.72522298718,120
"SteCoe_19127",752,971,459,935,915,749
"SteCoe_19128",84.9073685289011,60.8800214211431,94.7985767131023,81.2903788991656,125.043817245824,174.532512361931
"SteCoe_19129",501,607,141,633,671,313
"SteCoe_1913",101,117,51,54.65625,69,84
"SteCoe_19130",46,59,20.1955596882629,97.1715100391182,68,8
"SteCoe_19131",2,0,2,0,1,0
"SteCoe_19132",602,551,228.438325247254,436,495,152
"SteCoe_19133",0,0,0,0,0,0
"SteCoe_19134",2397,3605,1042,4251,4086,1740
"SteCoe_19135",306.679245283019,333.555462885738,175.403225806452,428.805015673981,423.551515151515,319.467741935484
"SteCoe_19136",726,1090,316,1094,1228,674
"SteCoe_19137",235,394,5,342,376,260
"SteCoe_19139",8983,10076.9542724929,3122,9366,9159.9566388793,2835.84257550299
"SteCoe_1914",20,4,5,10,10,16
"SteCoe_19140",3644,4689,2102,4263,4539,3409
"SteCoe_19141",1766.9770212766,2515.75261428145,674.226254002135,2013.81114903299,2377.14374225527,1099.96185286104
"SteCoe_19142",3311,3181,1105,3297,3579,1511
"SteCoe_19143",405,308,165,473,378,221
"SteCoe_19144",1904,2681,640,2890,3331,777
"SteCoe_19145",3842,5931,2632,4430,5311,3535
"SteCoe_19146",306,373,147,438,594,157
"SteCoe_19147",359.738461538462,507.150635208711,155.474285714286,522.496402877698,490.121722846442,377.308641975309
"SteCoe_19149",0,0,0,0,0,0
"SteCoe_1915",933,676,227,1203,858,369
"SteCoe_19150",68,102,97,94,148,248
"SteCoe_19151",979,1368,587,1029,1280,1184
"SteCoe_19152",31,38,14,29,54,17
"SteCoe_19153",289.692567567568,432.889655172414,169,364.986149584488,433.978873239437,318.948881789137
"SteCoe_19154",0,0,0,0,0,0
"SteCoe_19155",19,35,3,34,26,10
"SteCoe_19156",337.136569235916,273,53,729.640695666119,376,4
"SteCoe_19157",33,86,13,65,130,14
"SteCoe_19159",163,254,50,138,172,171
"SteCoe_1916",255,327,59,302,283,123
"SteCoe_19160",183,255,43,361,364,268
"SteCoe_19161",93,92,41,94,118,47
"SteCoe_19162",260,508,96,406,590,192.305948983054
"SteCoe_19163",525,794,252,595,935.971933471933,391
"SteCoe_19164",1054,1350,441,1052,1399,629
"SteCoe_19165",91,63,20,87,66,80
"SteCoe_19166",1879.45490485981,2250.59155564869,245.727019704668,1835.87474392652,2070.245331733,602.433941245618
"SteCoe_19167",1766,1785,152,2485,2470,364
"SteCoe_1917",121,109,80,146,196,76
"SteCoe_19170",334,231,63,575,340,137
"SteCoe_19171",456.630139885297,695.582063982202,72.7190666671859,674.322909119628,853.161237350458,189
"SteCoe_19172",3998.51148098996,4283.73333333333,6725.8855369515,4281.42559592687,4633.50579150579,7862.57734772361
"SteCoe_19173",1246.78373473084,1435.03044403573,488.090788718886,1878.72813825121,2023.28017875297,825.450240605049
"SteCoe_19174",24,70,22,59,86,36
"SteCoe_19176",196,228,97,209,272,181
"SteCoe_19177",72,80,55,31,67,75
"SteCoe_19178",128,144,31,131,151,30
"SteCoe_19179",0,0,0,0,0,0
"SteCoe_1918",0,0,0,0,0,0
"SteCoe_19180",864,879,308,759,722,368
"SteCoe_19181",148,208,67,147,138,99
"SteCoe_19182",26,15,1,21,17,28
"SteCoe_19183",27,25,27,54,61,10
"SteCoe_19185",34,41,28,19,42,34
"SteCoe_19186",174.87962962963,272.8,109.411764705882,237.811320754717,209.146341463415,292.561983471074
"SteCoe_19189",98,141,61,134,157,93
"SteCoe_1919",67.4643055233715,158,37,124,204,37
"SteCoe_19190",0,0,0,0,0,0
"SteCoe_19191",557.954830614805,486.069434989789,123.806701030928,688.465294399234,538.836036036036,120
"SteCoe_19192",735,904,293,1158,1407,417.993917109647
"SteCoe_19193",21,20,1,19,11,0
"SteCoe_19194",253,269,153,363,290,298
"SteCoe_19197",88,112,173,145,124,506
"SteCoe_19198",0,0,0,0,0,0
"SteCoe_192",24,24,13,16,19,46
