"","A1","A2","A6","P1","P2","P6"
"SteCoe_10097",1.00326797385621,0,0,0,2.01211203633611,0
"SteCoe_10098",297,367,97,280,458,128
"SteCoe_10099",4015,5242,1721,4413,5552,2024
"SteCoe_101",0,0,0,0,0,0
"SteCoe_1010",7580.26457367801,9082.01751202659,1864.44709479866,8188.43701274204,9345.88723807348,3405.61136651478
"SteCoe_10100",335,380,44,391,236,127
"SteCoe_10102",0,0,0,0,0,0
"SteCoe_10103",0,0,0,0,0,0
"SteCoe_10104",12840.6397693128,17846.6112615892,7708.03879994289,13551.8293989292,14766.9089919632,10250.0751956364
"SteCoe_10105",0,0,0,0,0,0
"SteCoe_10106",242,274,29,560,503,67
"SteCoe_10107",381,360,124,454,442,216
"SteCoe_10108",357,464,686,548,415,655
"SteCoe_1011",89,154.711049322874,52.7533697021883,108,142.714489434787,87
"SteCoe_10110",931.891393935294,1200.94195639364,410.491395793499,1757.35815228855,1618.60403028114,1170.16908412764
"SteCoe_10111",2.77815659223556,11.199630537552,8.19481054639899,14.3587935992044,10.119277055519,11.6289345817593
"SteCoe_10112",1087,1212,244,1361,1451,252
"SteCoe_10113",0,0,0,0,0,0
"SteCoe_10114",47,49,1,58,50,17
"SteCoe_10115",3,11,0,32,12,5
"SteCoe_10116",140,76,17,137,173,10
"SteCoe_10117",932,1134,186,1255,1350,312
"SteCoe_10119",13975.5371923478,18598.7747469761,9138.43739065234,16195.1110209149,20342.4966749002,11753.5879635114
"SteCoe_10120",1376,1618,400,1679,1528.88069164265,580
"SteCoe_10121",356,462,128,435,511,150
"SteCoe_10122",57,114,44,81,101,75
"SteCoe_10123",28,69,45,40,66,85
"SteCoe_10124",8666,10601,2285,9223,10950,2408
"SteCoe_10125",420,628,231,542,795,474
"SteCoe_10126",1970,2853,452,2189,2603,352
"SteCoe_10127",1358,1423,353,1334,1416,551
"SteCoe_10128",638,960,165,753,1023,234
"SteCoe_10129",759.074248460703,657.009231905465,443.1375,738.102027468934,732.220457902511,572.606940063092
"SteCoe_1013",178,207,125,170,167,171
"SteCoe_10130",1496,2117,766,2383,2342,951
"SteCoe_10131",1399.3576536485,1555.71183136264,323,1615.85752004448,1813.07699383807,463
"SteCoe_10132",0,1,0,0,0,0
"SteCoe_10133",261,369,201,388,317,543
"SteCoe_10134",210,301,100,321,402,144
"SteCoe_10136",204,315,46,192,320,81
"SteCoe_10137",158,247,99,348,271,148
"SteCoe_10138",28,29,0,22,10,12
"SteCoe_10139",1438,1344,53,1095,1187,122
"SteCoe_1014",1112,1399,546,1169,1470,949
"SteCoe_10140",24.7114737916557,46.4413365292453,26.3677538014852,43.8164371107333,62.1352762028131,25.1497764909915
"SteCoe_10141",752,929,388,1233,1066,899
"SteCoe_10142",505,484,95,569,610,86
"SteCoe_10143",400,591,34,595,739,18
"SteCoe_10144",73,108,36,89,149,70
