"","A1","A2","A6","P1","P2","P6"
"SteCoe_10029",620.559662322662,790.061738718955,661.16332313336,839.583484910951,660.143512058066,802.215728024437
"SteCoe_1003",100.300066827095,117.633834724147,95.379898022331,134.090628618806,121.559569281659,147.941009203177
"SteCoe_10031",0,1,0,0,0,0
"SteCoe_10032",0,0,0,0,0,0
"SteCoe_10033",0,0,0,0,0,0
"SteCoe_10034",2226.45965728577,2356.17835627916,2041.52940048604,2331.03792163453,2249.58055205208,2488.20977412161
"SteCoe_10035",56.5777289208086,93.0592975504684,69.0513615957535,107.14236004386,74.7817159309909,104.885092366215
"SteCoe_10036",20,31,3,54,31,9
"SteCoe_10037",4872.19384013898,5510.75166049605,4825.6347054904,5426.20019147709,4864.87626672049,5677.47840892169
"SteCoe_1004",608.075498716908,666.524478224794,583.751468400714,687.872550938662,627.761109032533,726.26997191316
"SteCoe_10040",353.347667737879,352.624345931717,381.202001020405,437.080308571306,451.826937417775,403.190270117492
"SteCoe_10041",1527.07326298167,1630.44387939753,1356.01342377901,1551.24594159018,1468.63590993587,1819.25115934547
"SteCoe_10042",784.308259954191,718.58509014477,791.681986048885,930.747197063206,1047.06229703239,983.092166534539
"SteCoe_10043",2064.58565551476,2130.77809942635,1904.15739738302,2101.95160078743,2098.10622544474,2175.55690524416
"SteCoe_10045",58.6483012398708,47.2816143894726,56.4821285707927,70.8744366881393,80.6064540352772,74.7262062794574
"SteCoe_10046",77.2149506402203,78.2240538501501,68.4290682618995,108.629330951665,101.967711670356,125.54326359637
"SteCoe_10047",299.282564774268,303.76444947257,346.958183077441,468.874738288451,453.350063871818,420.721795007046
"SteCoe_10048",1,0,0,0,3,0
"SteCoe_10049",181.458021787879,203.716907620438,199.004502852997,214.597176500624,188.001463419612,180.360275745299
"SteCoe_1005",0,0,0,0,0,0
"SteCoe_10050",3.75518539248542,5.41845383784646,8.47194070503369,10.9468941906997,9.14526044682157,6.87693679838689
"SteCoe_10051",225.42796831703,239.710916236827,294.928900328537,323.42615363844,308.218960422851,253.403093162515
"SteCoe_10052",6.95926821359392,14.0301123371303,9.90996060596719,13.8321515246579,7.29206251072395,12.2859343835599
"SteCoe_10053",0,0,0,0,0,0
"SteCoe_10054",0,0,0,0,0,0
"SteCoe_10056",2212.53595685226,2167.30808937936,1954.65313707068,2009.97880482269,2081.42050733666,2110.04504126974
"SteCoe_10058",1988.26055790393,1974.40040720256,1983.44888310213,2438.30312432466,2377.89395951754,2302.26671127552
"SteCoe_10059",1760.5483737034,1870.01583253603,1760.88704150834,2182.20789310809,1952.45730456191,2055.64567388403
"SteCoe_1006",237.329626050954,214.71597312678,301.591439228576,450.786839265999,444.187995179535,411.465994233168
"SteCoe_10060",11.0834795449733,8.1225291004116,15.7728218691783,16.7940376822464,17.8353714983275,11.8642576719818
"SteCoe_10061",116.171327678444,145.507560836884,137.248972129644,143.35597513872,110.811630928135,120.902036318035
"SteCoe_10062",1614.9228522366,1555.27377288614,1635.70778327447,1901.34802925104,1991.77058143567,1823.90319356918
"SteCoe_10063",3622.40057653762,3894.63510118961,3359.09408730442,4125.90925348236,3846.43431234013,4625.41600038515
"SteCoe_10064",30.3619357375105,13.3421444862142,18.0148460738346,16.5681589685328,31.4608193613104,30.7786580705163
"SteCoe_10065",67.0147957294962,68.5932956486717,79.3096666663525,109.548403563788,102.810850357093,94.32803625233
"SteCoe_10066",156.784962377031,168.668683929018,218.254985360734,323.599668998959,283.486228024681,261.23948001438
"SteCoe_10068",106.649561295344,143.96616561507,109.012819049434,145.526856978834,99.4075975051136,159.950743746027
"SteCoe_10069",133.703190249915,105.36165977616,116.014599534041,110.725990674194,138.818285803838,126.305656643609
"SteCoe_1007",969.263749732323,979.715518170527,962.950022008647,1153.35494362643,1104.06662752444,1118.41179963569
"SteCoe_10070",34.6270589356714,22.722189107053,30.4798969974118,17.0180750100533,29.406602287882,24.1870495698244
"SteCoe_10073",60.2969593139034,42.9620413827185,34.930612639054,12.0216412459683,16.3289138873081,36.5878419980764
"SteCoe_10074",7.73478192167269,20.5570339601643,7.09535599544362,23.1719549642336,9.26387129758704,30.298308724411
"SteCoe_10075",17,10,6,17,8,0
"SteCoe_10076",46.3982987522212,48.0756730761819,58.9719940082826,90.1502463499408,83.9553077546005,82.2011809291768
"SteCoe_10077",649.845085633323,623.681507593321,584.902505956983,700.119205338991,754.736793427358,775.662321896593
"SteCoe_10078",150.667096326434,215.430079805567,167.507787401507,220.227711762165,152.712238392276,215.36933690598
"SteCoe_1008",306.905236708297,376.598123702857,343.33739283547,470.744665828565,428.795570509064,461.769652685487
"SteCoe_10080",430.713316583117,459.450834202181,397.294479667437,491.928968080318,457.494933090378,576.379759113106
"SteCoe_10081",182.156755587615,183.66321711464,180.554474036591,224.235026869598,227.19584368019,232.67939816883
"SteCoe_10082",181.436887570704,205.214132049372,202.179571300624,220.835308155104,196.487497838463,188.81634973281
"SteCoe_10083",192.20282930062,196.434604558859,238.138958265519,301.061573336613,270.805967356322,243.766154169043
"SteCoe_10084",5047.63286745857,5394.21738183337,5570.83026359987,6438.36551197427,6221.87577396915,5875.64621707227
"SteCoe_10086",160.745597063795,155.071392443056,169.074704463029,164.623304626117,173.970600218555,144.980274269719
"SteCoe_10087",560.728535542821,633.43364695606,597.684857247221,897.133634141365,791.560460454402,936.986943204539
"SteCoe_10088",464.680706187471,434.185103347036,427.870520804745,494.881760309272,547.307517871842,552.056201994775
"SteCoe_10089",79.4043653408889,109.6984765782,83.9157360364409,118.204787587223,87.0953171466357,123.869497654551
"SteCoe_1009",37.0010253216561,24.212525271804,34.9404181634693,40.1186482349944,51.5167799199167,45.0911178677247
"SteCoe_10090",116.153492799235,112.025638829003,119.540724771301,129.545363800519,130.661055281667,115.581626194015
"SteCoe_10091",75.1085965704227,69.1234235452592,75.6498666611321,108.499811268041,109.164917286324,110.893923902571
"SteCoe_10092",0,0,0,3.01872797640994,1.02683552541059,0
"SteCoe_10093",816.119695685918,802.16706391122,774.770545938207,857.318314421285,899.039097861552,859.418381178711
"SteCoe_10095",239.013942589762,251.623023194775,237.920074805313,259.54624043541,243.494417078574,243.916591522822
"SteCoe_10096",882.455673919329,1097.02862410826,923.362518470186,1233.87078699677,999.949015964723,1196.27955716549
"SteCoe_10097",1.00326797385621,0,0,0,2.01211203633611,0
"SteCoe_10098",276.756069365482,245.454102338206,256.51502337071,263.570542829315,310.62096995959,280.729439924522
"SteCoe_10099",3706.4907831125,3792.42019224348,3659.92693270489,3986.6991909098,4048.80637685131,3883.34717155576
"SteCoe_101",0,0,0,0,0,0
"SteCoe_1010",6416.37008516155,6557.82718797316,5967.15401675593,6875.6074138588,6811.88193347725,6978.33285839673
"SteCoe_10100",235.75320523386,302.389962957453,220.672823215057,278.395149335111,192.587458073794,283.527795095415
"SteCoe_10102",0,0,0,0,0,0
"SteCoe_10103",0,0,0,0,0,0
"SteCoe_10104",12480.6850932811,14109.3456824169,11902.1410664915,13032.0594304195,11688.7344226315,13749.8760135821
"SteCoe_10105",0,0,0,0,0,0
"SteCoe_10106",171.543304282689,170.902009123678,269.104680819178,387.410459898288,365.766763936867,299.575568094882
"SteCoe_10107",306.593668172837,292.90681609874,295.209941681474,360.210779523814,363.046343254631,361.770253814621
"SteCoe_10108",447.086372696014,529.418450472114,545.795750392417,569.987397189384,483.135195186707,521.2109252999
"SteCoe_1011",96.9744128265127,112.521888712541,94.1704561696176,111.047059915524,101.217708149855,117.455724259602
"SteCoe_10110",873.959677433425,949.93515554416,936.348039563657,1453.75063881458,1337.14633424272,1486.64889508529
"SteCoe_10111",5.51278562496877,9.77902271820991,8.80606925961978,12.9984566725198,8.72483754140171,11.5005251033823
"SteCoe_10112",856.738475517987,849.064249823057,918.493617440749,1045.14575108463,1045.62228492758,924.912572782355
"SteCoe_10113",0,0,0,0,0,0
"SteCoe_10114",33.8691159820787,36.5136529191455,31.1236658686162,41.8275392610672,37.4947934612749,42.042521728606
"SteCoe_10115",1.0197307674762,8.80568358105617,9.24437016460231,19.6232495069252,9.78421693104285,13.2284713170974
"SteCoe_10116",94.7515629859948,55.5841637602349,95.4544380419937,92.4081176855614,123.446544270473,89.83329631164
"SteCoe_10117",761.43781393705,776.398145049684,803.519594535125,981.611091982654,964.385407627873,902.130608682276
"SteCoe_10119",14103.8117345047,14367.3938161127,14026.82214803,15708.7368740517,15926.8756000222,15897.452272466
"SteCoe_10120",1116.06241824168,1249.40829346577,1114.98140564911,1319.05467110224,1164.43570553205,1250.19150586797
"SteCoe_10121",316.153600895211,325.400836856906,327.445055085457,369.408535827875,367.974301238249,344.816790462079
"SteCoe_10122",68.0732026539116,84.93410020022,68.6579671499417,85.3627346783872,72.736961355459,90.3298451521718
"SteCoe_10123",48.0532495634069,55.9696897603244,44.7130438557483,57.1741836083094,53.0331814701944,70.6708065264489
"SteCoe_10124",7316.26236777568,7659.85803772153,7123.84485264158,7665.42920685117,7708.86564480287,7206.65114641121
"SteCoe_10125",457.978439556997,441.533179673766,436.155101687705,549.852137769804,587.331623620352,605.449320652506
"SteCoe_10126",1680.09799022038,1894.46947618164,1735.95110312015,1835.47001732852,1709.01873392873,1659.1349479698
"SteCoe_10127",1099.63522518534,1090.81895015313,990.066534774854,1081.19190202033,1084.0240667025,1115.23926089919
"SteCoe_10128",591.461572084226,621.30086797348,591.496182642474,670.248492850393,676.258084404648,643.289497888439
"SteCoe_10129",662.892662000002,613.357669274882,606.635220885449,646.601362649189,679.609536599994,694.057824088464
"SteCoe_1013",171.600422706697,184.465856807288,155.100550824963,165.377594197806,151.44044701462,187.271359278024
"SteCoe_10130",1386.39028268733,1565.30490747656,1604.53979617608,1961.99101528952,1780.35441440541,1751.68266433599
"SteCoe_10131",1135.2541200748,1112.38714206459,1123.43097578236,1290.65214981837,1318.53945834451,1231.10558083578
"SteCoe_10132",0,1,0,0,0,0
"SteCoe_10133",287.082097743201,355.401573093417,250.826840083068,383.379672947186,305.003649490499,475.229151005384
"SteCoe_10134",205.056275853037,204.8823441137,229.88895888342,282.574882791868,288.579973144707,264.500291566408
"SteCoe_10136",197.044964367286,198.094925626594,177.50628163624,187.901602703604,202.570428323686,199.938286622022
"SteCoe_10137",148.667639074065,194.766950088245,196.155846089061,271.502586966594,218.142560945843,234.866494299706
"SteCoe_10138",19.2380415801474,23.0604343292196,12.7768720677679,14.6245711640673,8.57841696207333,21.7631745918593
"SteCoe_10139",1011.87440106597,955.141303467086,829.825824320131,786.996422976116,812.333325826554,884.644831052693
"SteCoe_1014",1077.74750033473,1077.39642026463,978.333006440636,1122.06420354319,1146.15218235832,1239.23884902366
"SteCoe_10140",30.5330484168043,31.5935699793083,38.998896206043,43.6053710478955,44.6677599328892,38.0204914129533
"SteCoe_10141",699.105439853409,788.719343659017,715.470490220282,1038.56105504317,920.690735502004,1076.67282617862
"SteCoe_10142",376.721672819533,350.651261091727,388.854995689587,424.06519184924,443.420283714491,381.650049384895
"SteCoe_10143",332.263803622145,342.413901883907,397.409515145228,465.128033838004,467.071151701986,384.567382842346
"SteCoe_10144",79.4268563027255,71.6464279915212,75.8122235712821,91.6569983005076,104.224871162281,100.628852637482
